NIT;NOMBRE;SECTOR;SUBSECTOR;ARTICULOS;PAIS;DEPARTAMENTO;CIUDAD;DIRECCIÓN;CELULAR;TELEFONO;LINK_FACEBOOK;LINK_INSTAGRAM;;;;;;;;;;;;;;;
;Kukku Sushi;Restaurante;Sushi;Roll Con Palmito De Cangrejo, Camarones Apanados, Queso Crema, Toping De Palmito Cryspi;Colombia;Antioquia;Sabaneta;Cl. 76 Sur #46 - 81;320 2847577;NULL;https://www.facebook.com/2160510484172716/;NULL;;;;;;;;;;;;;;;
;Sushi Love Sabaneta;Restaurante;Sushi;Niguiri De Massago, Lomo Saltado, Ceviches De Algas, Sopa Ramen;Colombia;Antioquia;Sabaneta;Cl. 70 Sur # 43a-57;318 5444714;NULL;https://www.google.com/maps/?cid=2740420166293967376;NULL;;;;;;;;;;;;;;;
;Sarku Japan;Restaurante;Sushi;Sushi Burrito, Platos Teriyaki, Bentos, Ramen;Colombia;Antioquia;Sabaneta;Cra. 48 #50Sur-128;344 441100;NULL;https://www.google.com/maps/?cid=2423341954461725961;NULL;;;;;;;;;;;;;;;
;Sushi To Go Vegas;Restaurante;Sushi;Suchi, Canción;Colombia;Antioquia;Sabaneta;Cr48 25 AA S-70;NULL;NULL;https://foursquare.com/v/sushi-to-go-vegas/4f0cb600e4b0ece6d19e73d6;NULL;;;;;;;;;;;;;;;
;Daisuki Sushi Wok;Restaurante;Sushi;Sachimi Mixto, Entrada Esferas Del Dragon, Niguiri;Colombia;Antioquia;Sabaneta;Calle 72 Sur#43b-29;304 5654626;NULL;https://www.facebook.com/154040584642412/posts/3892767287436371/;NULL;;;;;;;;;;;;;;;
;Ginza Roll - Wok;Restaurante;Sushi;Baos, Ceviches, Sashimi, Postres;Colombia;Antioquia;Sabaneta;;323 5790043;NULL;https://www.google.com/maps/?cid=10889921524074740235;NULL;;;;;;;;;;;;;;;
;Comidas Rapidas Puppys;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;75 B Sur, Cra. 45 #118 ;342880159;NULL;https://www.google.com/maps/?cid=6046564733099870232;NULL;;;;;;;;;;;;;;;
;Perritos Zamu;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Cra. 46D #75SUR-73 ;3045383728;NULL;https://www.facebook.com/zamusabaneta/;perritos-zamu.negocio.site;;;;;;;;;;;;;;;
;Picnic Medellin;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Cl. 75b Sur #27 - 200;3002730515;NULL;https://www.facebook.com/1611632962474858/;picnicmedellin.com;;;;;;;;;;;;;;;
;Lolalitas;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Cra 44 # 64b Sur 51 ;3022705056;NULL;https://www.facebook.com/1759361007618027/;www.lolalitas.com;;;;;;;;;;;;;;;
;Las Arepas Punto Como;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Cra. 43C #66 S - 11 ;3003568587;NULL;https://www.facebook.com/1292552487449212/;NULL;;;;;;;;;;;;;;;
;Los Quesudos hotdogs and burguers;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Cra. 43A #68 sur 178 ;NULL;343665019;https://www.google.com/maps/?cid=5004738122383621260;www.losquesudospyh.com;;;;;;;;;;;;;;;
;Bonanza Parrilla;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Cra. 48 #50 Sur-96;NULL;NULL;https://www.google.com/maps/?cid=15207518324423940733;NULL;;;;;;;;;;;;;;;
;Pomodorino;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Calle 72 sur, Cra. 43A #25 ;343660313;NULL;https://www.facebook.com/821706404622007/;NULL;;;;;;;;;;;;;;;
;Butacos Burger Sabaneta;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Cl. 76 Sur #46 - 64 ;3003455457;NULL;https://www.facebook.com/1320866921275876/;wa.me;;;;;;;;;;;;;;;
;Mr Chips Gourmet;Restaurante;Comidas Rapidas;Perros, Perras, Hamburguesas;Colombia;Antioquia;Sabaneta;Calle 74 Sur # 34 - 330;3185108864;NULL;https://www.facebook.com/mrchipsgourmet/;mrchipsgourmet.negocio.site;;;;;;;;;;;;;;;
;Organika esencial;Cosmetologia;Cosmetologia Natural;Humectante;Colombia;Antioquia;Sabaneta;NO APLICA;3113109548;;;https://www.instagram.com/organika_esencial;;;;;;;;;;;;;;;
;Organika esencial2;Cosmetologia;Cosmetologia Natural;Exfoliante, Syndet;Colombia;Antioquia;Sabaneta;NO APLICA;3113109548;;;https://www.instagram.com/organika_esencial;;;;;;;;;;;;;;;
;Promoservin;Legal;Juridico;Servicio Y Asesoria En Seguridad En El Trabajo Y Afiliación A Eps;Colombia;Antioquia;Sabaneta;Calle 72 Sur # 46-13;3207406307;6047406307;https://www.facebook.com/promoservin1;https://www.instagram.com/promoservin/;;;;;;;;;;;;;;;
;Cafam;Farmaceutico;Farmacos;Medicamentos, Implementos De Aseo Personal;Colombia;Antioquia;Sabaneta;Cl. 74A sur Cra. 44 - 11;NULL;18000128444;www.drogueriascafam.com.co;www.drogueriascafam.com.co;;;;;;;;;;;;;;;
;Drogueria Calidad De Vida;Farmaceutico;Farmacos;Medicamentos, Implementos De Aseo Personal;Colombia;Antioquia;Sabaneta;Cra. 46 #73Sur-24;NULL;345978415;NULL;NULL;;;;;;;;;;;;;;;
;Drogueria Buenos Aires;Farmaceutico;Farmacos;Medicamentos, Entre Otros;Colombia;Antioquia;Sabaneta;Cl. 70 Sur #45 A 27;NULL;344445032;NULL;NULL;;;;;;;;;;;;;;;
;Drogueria Erma Sc Sabaneta;Farmaceutico;Farmacos;Medicamentos;Colombia;Antioquia;Sabaneta;Cl. 69 Sur #46 A 40;NULL;375377901;NULL;NULL;;;;;;;;;;;;;;;
;Cuidado Plus;Farmaceutico;Farmacos;Medicamentos;Colombia;Antioquia;Sabaneta;Cra. 44 #67 SUR -56;3042803070;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Drogas Y Descuento;Farmaceutico;Farmacos ;Medicamentos;Colombia;Antioquia;Sabaneta;Cl. 72 Sur #72s-16;NULL;343019700;NULL;NULL;;;;;;;;;;;;;;;
;Vida Y Plenitud;Cosmetologico;Cosmetologia;Implementos De Cuidado Personal, Productos Naturales, Implementos De Aseo;Colombia;Antioquia;Sabaneta;Cra 35 No 75 Sur 41 Terramar 1801;3165357800;NULL;www.amway.com.co;www.amway.com.co;;;;;;;;;;;;;;;
;Ebanisteria N Y L;Carpintero;Ebanista;Madera, Puertas, Armarios, Escritorios;Colombia;Antioquia;Sabaneta;Cl 71Sur #46 - 15;NULL;(604) 2035593;NULL;NULL;;;;;;;;;;;;;;;
;Madecoraciones Espacios Interiores;Carpintero;Carpinteria;Madera, Puertas, Armarios, Escritorios;Colombia;Antioquia;Sabaneta;Cl 56 Sur #39-1;NULL;42506052;NULL;https://www.instagram.com/madecoraciones/;;;;;;;;;;;;;;;
;Demadera Sas;Carpintero;Carpinteria;Madera, Puertas, Armarios, Escritorios;Colombia;Antioquia;Sabaneta;Cra. 45 #61s-12;320 6321111;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Restauración Y Fabricación A&A;Carpintero;Carpinteria;Fábrica De Muebles;Colombia;Antioquia;Sabaneta;Crr 46 # 71sur 17 int 204, Sabaneta;304 6657760;NULL;https://treinta.shop/maderasaa;https://treinta.shop/maderasaa;;;;;;;;;;;;;;;
;Arquidiseños Del Sur;Carpintero;Ebanista;Madera, Puertas, Armarios, Escritorios;Colombia;Antioquia;Sabaneta;Cl. 73 Sur #46 - 29;301 5400378;NULL;NULL;https://www.instagram.com/arquidisenosdelsur/?igshid=YmMyMTA2M2Y%3D;;;;;;;;;;;;;;;
;Cuatro Carpinteros;Carpintero;Carpinteria;Tienda De Muebles;Colombia;Antioquia;Sabaneta;Cl 71Sur #43B;302 6005948;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Cesca Soluciones Integrales;Carpintero;Carpinteria;Madera, Puertas, Armarios, Escritorios;Colombia;Antioquia;Sabaneta;Cl. 76D Sur #47c14;315 2000612;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Diseños Y Ensambles Sabaneta;Carpintero;Carpinteria;Tienda De Muebles De Cocina;Colombia;Antioquia;Sabaneta;Carrera 48, Av. Las Vegas #66B sur 60 Int 101;311 3312341;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Into Italia;Inmobiliario;Construccion;Diseños De Interiores;Colombia;Antioquia;Sabaneta;Cra. 43A #61 sur 152;NULL;NULL;http://intoitalia.co/;http://intoitalia.co/;;;;;;;;;;;;;;;
